title,year,certificate,runtime,genre,desc,rating,votes
Avunu Part 2,2015,null,198 min,"Horror, Thriller            ","Rajini, a blind woman, marries Abhijit, an inspector, after he puts a violent thug named Kaliram behind bars. However, their married life later turns into a nightmare when Kaaliram is released.",6.1,352
Khuddar,1994,null,167 min,"Action, Drama, Thriller            ","Based in a small village, Gauri, who lives with her widowed mother, Ganga, has matured and her marriage is arranged with Bombay-based Ramesh. When Ramesh comes to wed her, he is shocked to ...                See full summary »",6.9,194
Aamdani Atthanni Kharcha Rupaiya,2001,U,150 min,"Comedy, Drama, Family            ",Two crooks attempts to blackmail a rich hotelier in order to get a huge sum of money. The plan goes horribly wrong as the hotelier is murdered and they have no choice except keeping his body to show him alive in order to be safe from law.,3.7,541
Television,2022,null,112 min,Drama            ,"Bhonsle is a retired policeman and is living a non-interfering life in a colony dominated by locals, diagnosed with stage 4 brain tumor. When the migrant resident politics take a nasty turn, he chooses to take a stance and deal with it.",6.8,"1,588"
Fire in the Blood,2013,null,87 min,"Documentary, History            ","After the passing of Ramswaroop Lal, his two sons, Jeevandas and Shankar take over the control of their farmland. Jeevandas marries Bhagvanti and has no children, while Shankar marries ...                See full summary »",6.9,174
Halaman Jethva,1977,null,140 min,null,"Radhika Mishra and Samaira Khanna two young women who are friends but hail from different backgrounds. Radhika, a reserved but amiable middle class girl, loves to write. She desires to ...                See full summary »",8.4,97
Tharki Chotu,2020–,null,null,Drama            ,"Jack, a thief of hoodwinks the system and steals black money is chased by Daniel, a cop intent on catching him.",4.6,748
Naqab,2014,null,null,"Drama, Mystery            ","A married couple takes refuge in a dilapidated house during a stormy night. An old man, who stays in the house, plays an uncanny host, and draws out their secrets and shares his life theories with them.",5.7,33
Bali,2021,UA 13+,103 min,Horror            ,"Grew up with the words "" Made for each other "" only to realize your soulmate is your ""maid"" ? Shivam a 25 years old falls in love with his maid while dating his current boss (charu). Mess ...                See full summary »",9.2,20
M.L.A. Fatakesto,2006,UA,160 min,"Action, Drama, Musical            ","This is the story of two men from opposite ends of the spectrum of life, who somehow get inexplicably intertwined. The story happens over 24 hours, from the dawn of the eve of Bakrid to the dawn of Bakrid",7.8,135
Sye,2004,A,167 min,"Action, Drama, Sport            ",A hopeless orphan impersonates his dead co-passenger for his educational purpose and gets into trouble.,7.5,"1,800"
Ventilator,I 2016,U,143 min,Drama            ,"Circa British rule in India, Harnam betrays a freedom fighter, and as a result is rewarded, but the freedom fighter is killed, leaving his wife, and family devastated and destitute. Years ...                See full summary »",7.5,943
Dushman Devta,1991,U,null,Action            ,"Maayan sees Machakanni on the day of her engagement and both fall for each other. Incidentally her engagement is broken off. But, the enmity between their villages and family threatens their romance.",4.5,142
Roktopolash,2022,null,null,Drama            ,A police officer is looking to solve the mystery of an unidentified body. A couple who're unhappy in their marriage go looking for answers in their past. A detective has the answers they all need.,5.5,203
Petromax,2019,UA,128 min,"Comedy, Horror            ","Munna Bhai, a dreaded Mumbai gangster, falls in love with a young woman named Komal. Things go hilariously awry when Munna sets out to marry her and has to fight off Dr. Rastogi, her brother, and Raja, her vagabond boyfriend.",4.2,"1,469"
Vanamagan,2017,U,141 min,"Action, Adventure            ","Tej, a youngster who's highly attached to his family, is banished from his home by his uncle (Peddananna). He then finds himself in London, where he falls in love with Nandini. After long ...                See full summary »",5.4,472
Visfot,,null,null,Crime            ,A young cop needs to show his true potential to catch a gangster and to win his love.,5.7,"1,573"
Jatugriha,2022,UA,104 min,"Drama, Horror            ","Shivaraj falls in love with his manager's daughter, Shruthi. However, she refuses his proposal and challenges him to first earn Rs 5000 without using any influence.",7.8,555
Vidiyum Munn,2013,null,129 min,Thriller            ,A happy-go-lucky student at a university gets embroiled in a love triangle with two very different young women.,4.4,115
Panther,2019,U,127 min,Action            ,An ordinary 60 plus couple - Vidhyadhar Patwardhan and his wife are forced to search for their faith in human values and society after the death of their only son Amar. In the process they undergo the most testing struggle of their lives.,7.1,"2,146"
Mainu Ishq da Lagya Rog,2015 TV Movie,null,null,Music            ,The story is a fairy tale about a baby who was found by the Sage Kanva who gives her refuge in his ashram and raises her like his own daughter. Shakuntala grows up to be a breathtaking ...                See full summary »,8.9,80
Kora Kagaz,1974,U,125 min,"Drama, Musical, Family            ","From the Badshah of Hits who gave you Saturday Saturday, Abhi Toh Party Shuru Hui Hai, Selfei Le Le Re and Char Shanivaar comes the grooviest Party Anthem of 2015 DJ Wale Babu. Once you ...                See full summary »",6.2,10
Vazhakku Enn 18/9,2012,UA,124 min,"Crime, Drama, Thriller            ","Bigg Boss OTT, also known as Bigg Boss: Over-The-Top, is the first season of the Indian reality TV series Bigg Boss to be made for and aired on a streaming platform exclusively.",2.6,274
Dedh Bigha Zameen,,null,null,Drama            ,"For 15 year old Sharda, change is coming. She is making a move from a Hindi medium school to an English medium one. Faced with the task of coping with this change, will she able to make new...                See full summary »",9.6,10
Udyanapalakan,1996,null,142 min,"Drama, Romance            ","A widower with three young children finds himself in debt. Blinded, in an industrial accident, he loses his job and is admitted to hospital. Upon returning home, he overhears the heartless ...                See full summary »",7.0,41
16 December,2002,null,158 min,"Action, Thriller            ",Passengers on a stranded bus in a desert are attacked by a vengeful winged witch.,3.5,340
Mandi,1983,UA,167 min,"Comedy, Drama            ",Shirke Patil a wealthy family Gauri a sweet and innocent girl believing in sacrifices up in their house as a maid only to face insults an humiliation specially from Shalini who demotivates ...                See full summary »,3.0,108
Manasantha Nuvve,2001,null,157 min,"Drama, Family, Romance            ","To pay off their gambling debt, four best friends kidnap an organized crime figure having mistaken him for a wealthy businessman.",4.4,919
Pathinaru Vayathinile,1977,U,139 min,"Drama, Romance            ",A different concept of destiny for a love story.,5.7,408
Deevinchandi,2001,null,null,Drama            ,Two local boys fall in love with the girls of a local chicken shop vendor named Hanif. Hanif denies marriage and then the boys take help of a Local gangster Mama.,6.7,134
Piklu,2021,null,26 min,"Short, Drama            ","Aviyal is a collection of five Tamil short films made by various directors, including Alphonse Puthren, Sameer Sulthan, Lokesh Kanakaraj, Mohit Mehra and Guru Smaran.",6.2,178
Neer Dose,2016,A,135 min,"Comedy, Drama            ","The local party leader gets hospitalized, Dr. Gayathri tries her best to cure him, but he dies. The leader's son is forced to take over while Dr. Gayathri tells him about the conspiracy over his father's death.",3.5,345
Pirate's Blood,2008,null,null,"Action, Horror, Thriller            ",Assistant Commissioner of Police Suraj Chauhan wants to eliminate crime from his region by bringing all criminals to justice. His crime-reporter brother Arun attempts to expose the criminal...                See full summary »,4.3,155
Server Sundaram,,U,124 min,Comedy            ,"Frustrated and annoyed with the pointlessness and insensitivity that comes with casteism, Ramji, an old Dalit man, decides to give up his religion. However, his ever-pious wife is against ...                See full summary »",7.1,33
Taali,,null,null,Drama            ,A man goes against a mafia gang to avenge his brother's death.,7.2,"1,429"
Bachelors,2022,UA,98 min,"Mystery, Thriller            ","Siva (Madhavan) comes to Madras from a small Tamil Nadu town to study. He instantly falls in love with elusive stranger Priya (Meera Jasmine), who resists his charms quite persistently. ...                See full summary »",7.0,993
Yahudi,1958,U,170 min,"Action, Drama, Romance            ",Two lovers from differing cultural backgrounds are separated by their parents for one year in order to prove if their love is true.,7.8,304
Highway Star,2017,null,null,"Short, Music            ",A famous hotel in Nairobi is about to close. People don't go to that hotel like before.Kakababu and Santu go to the hotel to find out the reason.KBBO-AINOS,4.1,564
Chocklet,2001,U,null,Drama            ,The adventurous trip of Abir and Jhinuk takes them to the legendary Durgeshgor.,6.7,840
Golimar,2010,A,160 min,"Action, Crime, Thriller            ","Jagirdar Bishamber Nath a wealthy man disowns his son, police inspector Amar Nath for marrying against his wishes. In the course of his duties Amar sends a notorious criminal Pinto to jail....                See full summary »",6.2,164
Drona,2020,UA,157 min,Drama            ,"During the Emergency Girdharilal Kapoor flees from India to live in Britain, assumes the identity of Swami Prem Baba but still carries on selling cocaine. When he finds out CBI Inspector ...                See full summary »",5.5,12
Geet,2010–2011,U,22 min,Romance            ,"California Typewriter is a story about people whose lives are connected by typewriters. The film is a meditation on creativity and technology featuring Tom Hanks, John Mayer, Sam Shepard, David McCullough and others.",7.3,967
Nenu Meeku Baga Kaavalsinavaadini,2022,UA,130 min,Drama            ,"A couple truly in love get married. On the day of marriage just after the ritual due to a stupid reason an argument sparks, egoes crash which turns into violence. The couple separates. How they finally unite is rest of the movie.",3.7,276
Dasara,2023,null,120 min,"Action, Drama            ","An Inspector is assigned to track down a large sum of stolen money. His investigations lead him to a couple of small time crooks, a village belle, a murder, an absconding suspect, and an international drug dealer.",7.1,"1,347"
Laththi,2022,null,123 min,"Action, Drama            ","A chance meeting rekindles old memories between a screenwriter and his ex-girlfriend, who is by now married to a well-to-do man.",7.6,"2,219"
Kannathil Muthamittal,2002,U,136 min,"Action, Drama, War            ","Emtan (Nassar) runs a provision shop in a village. His son Krishna (Bharath), a student of poultry science, helps him in the shop. A strict father Emtan is always at his son's back. His ...                See full summary »",6.8,277
Kanchana 2,2015,UA,166 min,"Comedy, Horror            ","Anmol is made to work as a maid in her own house by her step-mother and step-sisters. Later, a singer falls for her and decides to free her from her evil family.",5.1,143
Munna Michael,2017,UA,140 min,"Action, Drama, Music            ","Diya and Indra have a bitter break-up, as Diya decides to marry a groom of his father's choice. Meanwhile, Indra's and Diya's grandparents' newly formed friendship becomes the reason for their grandchildren to get back as a couple.",5.1,301
Yugi,2022,UA,131 min,"Drama, Thriller            ","An orphan with abandonment issues is sent away to another parish by his guardian. A missionary doctor. He returns a talented cook, but also an alcoholic. Despite attempts to help him, he starts spiraling in his forsakenness.",8.4,18
Yaanai,2022,UA,154 min,"Action, Drama, Romance            ","Aman Khanna, a once successful singer, is drowning his life into alcohol, despair and self- destruction after his 6 years old son died in a freak accident. Aman's wife, Meera who has an ...                See full synopsis »",6.2,"1,696"
Yaanai,2022,UA,154 min,"Action, Drama, Romance            ","A grim past haunts a retired judge. When his daughter reopens his old cases in a bid to help her father, the duo face the brutalities of a crippling legal system.",7.8,113
Yuvarathnaa,2021,UA,161 min,"Action, Drama            ","When a homeless and orphaned young man finds work in the house of a wealthy man, he falls in love with the daughter of that wealthy man. But things start to change a lot thereafter.",7.4,"2,880"
Saraswatichandra,2013–2014,PG,null,Romance            ,"Stray, poor, idle, addicted common people can be found easily around us. The politicians and system treat them as puppets. Such people are not considered as human beings. Most of their ...                See full summary »",9.3,"1,196"
Janbaaz,1986,A,175 min,"Action, Drama            ","A young businesswoman hires a charming con man in a bid to defeat her business rival. Complications arise when he turns out to be unreliable and worse still, romance blooms!",6.7,173
Joker,2012,U,104 min,"Comedy, Family, Sci-Fi            ","This film is a tale about a young girl who grew up in the slave caste group and how she came to be immortalized as their locality, Maadathy.",7.2,268
Chaayam Poosiya Veedu,2015,(Banned),101 min,"Drama, Mystery            ","A psychological thriller which depicts the fact that ""Today is a gift - that's why it's called Present"" in an unusual way. It is about a man called Neenu, who lives in the present. The film...                See full summary »",7.8,"8,235"
Padayappa,1999,U,181 min,"Action, Comedy, Drama            ","A forest officer who falls in love with a tribal girl named Indu(Farzana Shetty). As time passes by, even Indu okays Vasu's love.",7.0,999
Dhruva Natchathiram,2022,null,173 min,"Action, Thriller            ",A young man Ajay (cancer victim) meets two lovely women Renu (wife) and Vidya (journalist) in his life.,6.1,839
Ankhen,1968,U,172 min,"Action, Adventure, Drama            ","When an honest school teacher testifies in a rape case against a prominent businessman's son, he is psychologically tortured and forced to commit suicide. His young son then takes the law into his own hands in order to avenge his father.",5.4,494
Nandha,2001,A,165 min,"Action, Drama            ","Two friends, Harmeet and Irfan, from two different minority communities in India, meet after a gap of 5 years. What begins as a conversation amongst two friends catching up on old times, ...                See full summary »",8.8,417
Brahmachari,I 1968,null,157 min,"Comedy, Drama, Musical            ",A heartfelt romantic comedy movie about modern age relationships and the transformation of the lead characters. This movie is also a celebration of 24 unique kisses varying from romantic to heart-warming.,4.6,160
Pudhiya Geethai,2003,null,140 min,"Action, Drama, Romance            ",A common man is financially taken advantage of by corrupt government officials in this political satire.,5.2,665
Master Piece,2015,UA,158 min,"Action, Comedy, Drama            ","Dheena works for his brother Adhikesavan, a gangster, and is very close to him. However, things turn sour between them after a misunderstanding leads to the death of their sister.",7.1,"2,567"
Falguni Pathak: Saawan Mein,2001 Music Video,null,null,null,"Maya, an innocent, naive young woman, enters the world of modeling and quickly becomes successful without compromising. When her agency signs her to do a topless shoot, she declines, but ...                See full summary »",3.4,19
Mungaru Male,2006,U,143 min,"Comedy, Music, Romance            ",Titli dies in a car accident but Inspector Tara doubts it as a planned murder... The Complete movie is about the investigation.,5.2,67
Pratidwandi,1970,null,110 min,Drama            ,"The call for some fun and adventure brings a couple to Dharamshala, a small hill-station nestled in the Himalayas. However, an ominous twist of fate puts everything at stake when they decide to go trekking to a deserted mountain peak.",6.1,91
Ek Ruka Hua Faisla,1986 TV Movie,null,127 min,"Drama, Thriller            ",Uma loses her husband at a very young age and faces many hardships. The only support she gets is from her brother-in-law.,8.0,873
Barefoot Warriors,,null,null,Family            ,"A huge fan of Amitabh Bachhan, falls in love with a Colonel's daughter and tries to woo her. Later, he finds a mobile which belongs to a ruthless gangster and starts blackmailing him.",5.4,266
Street Lights,2018,U,129 min,"Crime, Thriller            ","Raghu is a poor school going child. One day a magical stranger gifts him a red coat. Raghu discovers that whenever he puts his hand in the coats pocket, a rupee appears. He and his friends ...                See full summary »",7.5,219
Bhale Bhale Magadivoy,2015,U,137 min,"Comedy, Romance            ",Add a Plot,8.6,5
Daari,2022,UA,111 min,"Crime, Thriller            ","Mahima lives a middle-class lifestyle with her parents, Pooja and music teacher,Gautam. She is in love with a young man, Anuraag, whose foster father, Pratap, is very friendly with Gautam. ...                See full summary »",7.4,51
Break Point,2021–,UA,38 min,"Documentary, Sport            ","A village youth falsely implicated in a conspiracy is imprisoned and can't prove his innocence to his beloved. Devastated, he takes to alcohol.",7.1,264
Autograph,2010,null,131 min,Drama            ,Son-in-law makes an attempt to change his mother-in-law's character to make her to feel that his love is towards her daughter not on her property.,3.2,758
Jai Jagannath,2007,U,127 min,"Drama, Fantasy, History            ","In this adaption of the Ibsen stage play, an idealistic physician discovers that the town's temple waters are dangerously contaminated. But with the community relying on the holy attraction for tourist dollars, his warnings go unheeded.",7.3,"1,432"
Camera Error,2022,null,null,Horror            ,Evil has been present during the evolution of mankind and the Dashavatar (ten incarnations of Hindu God Vishnu) have been constantly present to triumph over evil.,6.4,175
Aaba,2017,null,22 min,"Short, Drama, Family            ","Estranged sweethearts naive Nabab and not hot enough Nandini, who were separated during childhood, reunite at a college and fall in love. Will Nandini's father and her suitor approve of their courtship?",6.8,30
Lockdown with my Crush,2020–,18,null,"Comedy, Romance            ",A honest head master declined an offer of becoming the Chief-minister for his village.,6.4,17
Minsaara Kanavu,1997,U,153 min,"Comedy, Drama, Romance            ","A kind-hearted girl, Suhani dreams to be a doctor, Ranveer a strong-minded man, just has one obsession, Suhani. Destiny brings them together, but a dark secret looms over them. Will it keep them united or will it break their bond forever?",8.0,81
Chhoti Bahu,1971,U,137 min,"Drama, Family            ",A man's romance with a music teacher becomes dramatic as he begins receiving anonymous videos of her.,6.6,"1,065"
Kodathi Samaksham Balan Vakeel,2019,U,155 min,"Comedy, Crime, Mystery            ",A reality dance competition.,6.1,314
Chinna Thambi,1991,null,144 min,"Drama, Romance            ",Karunesh gives another hilarious performance that's filled with astute observations.,7.6,269
Narthanasala,1963,U,175 min,"Drama, Musical            ","In the heartlands of Varanasi and Mughalsarai, where crimes and political tyranny rule. One man goes on a mission to avenge the love of his life and goes on a bloody rampage that puts the most powerful people of the city, on high alert.",8.5,"1,676"
NTR: Kathanayakudu,2019,U,169 min,"Biography, Drama            ",Madhavan and Sridevi are inseparable friends since childhood. Their friendship is entirely platonic. The narration gains grip when their friendship undergoes a test and relinquish.,5.7,360
Dwaraka,I 2017,UA,143 min,"Drama, Romance            ","Abhyankar (Amrish Puri) is an orthodox head of his family, a retired police officer, he has values which he wants his family to also uphold. As a result of his values, his daughter is ...                See full summary »",5.7,834
I Am That Change,2014 Video,U,3 min,Short            ,Add a Plot,6.8,12
Chaamp,2017,null,120 min,Sport            ,"Aai Kalubai is about to leave the village as she finds that people out there don't care for other's feelings this will lead to lot of trouble for villagers ,Aarti is her true devote and ...                See full summary »",7.7,8
Aar-Paar,1954,null,146 min,"Musical, Romance, Thriller            ","Antony assumes several identities and kidnaps three government officials in order to succeed in his secret mission. However, a CBI officer sets out to find the real identity of the kidnapper.",7.2,"3,349"
Namma Basava,2005,U,158 min,"Action, Comedy, Romance            ",Add a Plot,7.8,41
Lollipops,2021,null,119 min,Thriller            ,"A twisted tale full of murder, mysteries and deceit. The truth is not what it seems to be.",6.8,78
Devi Aur Hero,2019,null,117 min,Drama            ,Soft-spoken Navya falls in love with good-natured Anant. They get married after the initial hiccups but life is not all roses.,7.5,275
Big B,2007,UA,130 min,"Action, Crime, Thriller            ","Rohan and his magical friend, Keymon Ache somehow always land into trouble. Watch now as they bring along magic, love and laughter.",7.8,39
Kaisa Yeh Ishq Hai... Ajab Sa Risk Hai,2013–2014,null,null,Drama            ,A love triangle emerges in America between two Indian men and one Indian woman. The two men fall in love with a young co-ed at an American University--who also happens to be the daughter of an Indian billionaire.,2.2,227
Dhool,2003,U,180 min,"Action, Comedy, Drama            ","Sivaji, a stage artist, finds whereabouts of his daughter who disappeared two decades ago and finds out that the kidnapper, Gayatri Patel, is an exact lookalike of him.",5.4,797
Sham Ghansham,1998,null,160 min,"Action, Drama            ","A teen boy- getting trapped in the world of fantasy, pornography followed by social crisis and then his self redemption -like the Bengali name for Deciduous trees, 'Pornomochi' - that sheds dead leaves and grows new ones towards a new life.",6.2,225
Crashh,2021–,18,23 min,Romance            ,"Rejected by the woman he loves, a man must find true love for an amazon from Venus.",4.4,615
Chick Flick,2020–,UA 16+,null,"Comedy, Crime            ",Ajay Chauvan lives with his parents and a younger sister. Ajay loves Pooja and hopes to get marry to her one day; he prepares a job application and send it to various places but in the ...                See full summary »,4.3,399
Thulluvadho Ilamai,2002,A,144 min,Drama            ,Crime Stories is an interactive crime thriller show starring Vikrant Singh and Samar Pratap. It is an original series of Flipkart Video and is available under the video section of Flipkart app. Season 2 was released on 27 July 2021.,7.4,14
Maalai Nerathu Mayakkam,2016,A,123 min,"Drama, Romance            ","A journey of a young Innocent Girl ""Gauri"" from remote corner of Himalayas to Mumbai. Her journey of anguish, pain and tormentation. Her Dreams and faith in human relationships Shattered.",4.9,30
Da Tang Xuan Zang,2016,null,90 min,"Biography, History            ","Indumati lives with her step mother Sushila (Vahinisaheb) in their palatial home in a small village, Indumati loves to live a simple life and spends her time with village girls and also ...                See full summary »",6.7,41
Ishq: Not a Love Story,2021,UA,121 min,"Drama, Romance            ",A young man narrates his past on how his father wants the best things for him but never asks his son's opinion on whether he likes them or not.,7.4,"1,749"
Lavakusha,2017,U,151 min,Comedy            ,"Young and attractive Kunti has fallen in love with a young man by the name of Anil, and both intend to marry. They do get intimate which ends in Kunti getting pregnant. Kunti finds out that...                See full summary »",5.6,61
Oozham,2016,UA,140 min,"Action, Drama, Thriller            ","A man fakes his own death. Unfortunately for him, starting a new life with a new identity will only bring him more problems.",6.7,"3,805"
Fidaa,2017,U,144 min,"Comedy, Drama, Romance            ","A story about Sreenu, an NCC cadet who loves Prema in his college, and his heroic efforts to gain his love",5.7,161
Maayavan,2017,UA,127 min,"Action, Crime, Mystery            ","Raghbir's first wife is dead, he is about to marry his childhood friend but even before the ceremony begins another woman is already claiming he's her husband.",7.7,85
Paagal,2021,UA,130 min,"Comedy, Romance            ","Inspired by the Indian legend of the slave girl who becomes the King's favorite concubine, only to fall in love with his son, Anaarkali is the story of Simran, the mistress of powerful and ...                See full summary »",8.6,6
iSmart Shankar,2019,A,140 min,"Action, Crime, Sci-Fi            ","A man is coerced by his uncle to get married and assigns this task to his secretary. However the man falls for the secretary herself, who has a dark past.",5.4,"2,323"
Kaale Dhande,2019–,18,240 min,Comedy            ,The story of a family troupe of English actors in India. They travel around the towns and villages giving performances of Shakespearean plays. Through their travels we see the changing face...                See full summary »,6.8,763
Jai Lava Kusa,2017,UA,150 min,"Action, Drama, Thriller            ","In Sancharram (""The Journey""), Kiran is mortified by her growing lesbian desire for the effervescent Delilah, in an idyllic Indian village where arranged marriage is the only acceptable form of coupling.",6.8,364
Ardh,2022,UA,84 min,"Drama, Romance            ","Chandrashekhar Azad has been a leader in the freedom revolutionary movement of India, along with Bhagat Singh he created a revolutionary organization and gave a tough challenge to the ...                See full summary »",9.0,12
V1 Murder Case,2019,UA,112 min,"Drama, Thriller            ","In a South Indian village, a centenarian's funeral brings together his free-spirited son, inheritance-hungry grandson and girl-crazy great-grandson.",8.0,"2,742"
Pawan & Pooja,2020–,Not Rated,null,"Drama, Romance            ",Add a Plot,7.7,6
Local Utpaat,2022,null,null,"Action, Comedy            ","Ranjit Varma and his younger brother, Ravi works for a notorious criminal, Veljibhai Soda. While Ranjit is Veljibhai defense advocate; Ravi does all his unlawful activities. On one ...                See full summary »",6.0,216
Bhaag Johnny,2015,UA,118 min,"Action, Fantasy, Thriller            ","Dharmendra plays Deepak, an honest, hard working son. His family consists of his widowed mother and younger brother Suresh. By luck, he stumbles on a good job, but with the wrong man, Mr. ...                See full summary »",6.3,54
Exchange offer,2020,null,null,"Short, Drama            ","Nikhil, a simple naive young man, twice fails in his quest for love. Will he be third time lucky?",5.2,"1,945"
Devullu,2000,U,148 min,Drama            ,This action-packed series will witness 2 special task force teams who are on a job to identify and probe in to the heinous crimes that have crippled the state of Tamil Nadu.,7.1,45
Avijatrik,2021,U,136 min,null,The series mainly focuses on the story of different paranormal and strange cases from different parts of India inspired from real life incidents. It also shows investigation and subsequent exorcism.,6.3,92
Aadhavan,2009,U,159 min,"Action, Comedy            ","A woman whose entire family was murdered by a cruel landowner, vows that she will get her son and his daughter married someday.",5.4,"1,004"
Do Waqt Ki Roti,1988,null,110 min,Action            ,"Nayika Devi, the Warrior Queen is a Historical drama set in the 12th century. The film is about India's first female warrior.",8.8,566
The Good News,2022,null,null,"Short, Drama            ","Reena is in love with Sumit. However due to her eccentric nature, Sumit has his reservations about getting married to her. But when Reena proposes the idea of meeting her father, Sumit is unable to say no that leads to a comedy of errors.",8.9,203
Goreyan Nu Daffa Karo,2014,null,134 min,Comedy            ,A usual working day turns unusual for Guru and Harini when they get trapped in their haunted office. A patterned game unlocks a mystery and a lift is their only way out.,6.6,"3,269"
Thamilarasan,2023,null,null,Drama            ,"White Hill Music presents New Hindi Song 2021 ""Shiddat"" Deb Ft. Neha Malik. Lyrics by Kunaal Verma, Deb. Music by Deb. Video by Rayhaan Patni. Produced By Gunbir Singh Sidhu and Manmord ...                See full summary »",7.2,161
Rowdy Singh,2022,UA,145 min,Action            ,"Maari, a goon with a love for pigeon racing, must challenge the police corruption in his town.",6.3,"4,477"
Zamaane Ko Dikhana Hai,1981,U,175 min,"Romance, Thriller            ","Kuntol and Sudarshan meet when they are at their lowest. On hearing Kuntol's story, Sudarshan gets a dangerous and illegal idea that can solve both their problems that results in a hide and seek game with life.",8.2,428
Kabhi Kabhie Ittefaq Sey,2022,UA,20 min,Drama            ,"A man with disabilities fights for custody of his 7-year-old daughter, and in the process teaches his opponent lawyer the value of love and family.",8.2,"6,048"
Dongri Ka Raja,2016,A,139 min,"Action, Drama, Musical            ","Annakodi is in love with a boy who belongs to a different caste. When her parents learn about it, they disapprove of her relationship and force her to get married to someone else.",4.5,19
Department,2012,A,141 min,"Action, Crime, Thriller            ",This film depicts a romantic love story.,7.6,97
Hote Hote Pyar Hogaya,1999,UA,140 min,"Romance, Action, Crime            ","Jacob, a manager at a big financial firm, finds himself behind bars when he tries to save the woman he loves from being involved in a criminal case. The only way for him to survive and to escape was to break out of prison.",7.4,"1,548"
Savitri Satyavan,1923,null,null,Drama            ,Five friends form an organization to solve crimes in their town,8.3,73
Kaasav: Turtle,2017,U,105 min,"Drama, Family            ",Taani is the daughter of a Cycle Rickshaw Puller who works hard to give her daughter education mean while Taani also realizes hardships faced by her family and starts working as a maid and fulfill her dreams.,7.8,40
KISS: Keep It Simple Stupid,2013,A,139 min,"Comedy, Romance            ","An unexpected life event forces a young man to reconsider the past and his opinions about his father, who was an ice-cream seller.",7.0,707
Buniyaad,1987–1988,null,null,Drama            ,Eknath is a skilled salesman who is unhappy about having three daughters. His extreme negligence towards them invokes the anger of one of his daughters.,7.4,14
Bharat Ek Khoj,1988–,null,null,History            ,Love between a danseuse and a musician brought under attack from various sources. Will their love survive amidst treachery and competition?,7.6,265
Don't Drink & Drive,2022,null,22 min,"Short, Mystery            ","International Criminal Don, Supremo, alias Trikal Anna is concerned when he hears that two of his trusted lieutenants are at war with each other. So he decides to travel to India to settle ...                See full summary »",4.2,341
Eating Animals,2017,null,94 min,Documentary            ,"Maanav is an orphan who was brought up by a Catholic Priest, Father Francis. After completing his M.A. he returns home to Taran Devi and finds out that his mentor his dead. He re-locates to...                See full summary »",6.9,251
Motu Patlu Kung Fu Kings Returns,2021,null,null,Animation            ,"Mechanical engineering students, Romario, Riyas, Yoodas, and Athmaram think their lives are miserable since there are no girls in their class. Much to their joy, a girl called Riya joins their class and soon becomes their friends.",5.1,"1,531"
Mr & Mrs Sadachari,2016,U,128 min,"Comedy, Drama, Romance            ","Abhinav (Abhishek Bachchan) and Reva (Antara Mali) are two, middle-class citizens in the big city of Mumbai. Both are trying to get a breakthrough in their individual profession. Abhinav ...                See full summary »",4.4,601
Poo,2008,U,109 min,Drama            ,"A 15 year old boy, struggling with his adolescent years, is terrorized by a gang of bullies in a posh boarding school. This sets forth a chain of events that leads to a loss of life and innocence.",5.6,315
Imsai Arasan 23rd Pulikecei,2006,U,142 min,Comedy            ,"The film is a comedy of errors, in which three guys land up in Bangkok amidst a lot of confusion over their marriage with three girls. They are forced to do insane things in order to woo ...                See full summary »",4.4,261
Shararat,1972,null,null,Drama            ,Movie based on the story of rise to power and eventual fall of contemporary youth in political game.,7.4,124
Main Tera Dushman,1989,null,null,"Action, Adventure, Crime            ","Raja (Shashi Kapoor), a Kashmiri boatman and Rita (Nanda), a beautiful heiress from the city, fall in love.",6.6,317
Vansh,1992,null,135 min,"Action, Crime, Drama            ","ToddWorld is an animated children's TV program about the adventures of a boy named Todd and his friends. The show is notable for its bold lines and bright colors. Each episode conveys a message about tolerance, diversity and acceptance.",7.5,72
Best of Luck Laalu,2017,U,131 min,Comedy            ,"Witness is a 1995 Indian Tamil film, directed by Thakkali Srinivasan and Produced by T. G. F. Media Systems LTD. The film stars Nizhalgal Ravi, Gautami, Raghuvaran and Aamani in lead roles....                See full summary »",5.5,7
Akhil,2015,UA,130 min,"Action, Fantasy, Romance            ",Forensic officer Mugilan falls in love with Megha. But she disappears around the same time as when Mugilan discovers incriminating evidence against a corrupt police officer who is up for a promotion.,5.5,126
Kidnap,2022,null,null,Thriller            ,"Lakhan Singh gives his life of a Dacoit and lives a happy life with his wife Champa when his son Jaswant becomes three years old, Champa becomes ill with cancer and circumstances force him to be again a Dacoit.",7.3,129
Komaram Puli,2010,A,163 min,"Action, Crime, Thriller            ","Jai Kumar is a wealthy industrialist, and lives in a palatial house with his wife: Sheena, son: Vishal, and daughter: Sapna. He has made arrangements for Sapna to get married to Vishal, who...                See full summary »",1.7,631
Jeet,2003–2004,null,42 min,"Drama, Romance            ","The story is of a dreaded gangster Babu Bhaiya who terrorized Jaunpur. Later, he spread his wings to Mumbai and worldwide. The film captures the ups and downs of Babus audacious crime journey.",7.6,30
Dil Juunglee,2018,UA,124 min,"Comedy, Romance            ","The life of a simple village boy, his first broken childhood relationship and his ridiculous adventures in New Zealand after getting marriage.",6.1,871
Daasi,1981,null,null,"Drama, Romance            ",Add a Plot,9.6,9
